time,values
0.983,2.0583
0.984,2.059
0.985,2.0579
0.986,2.064
0.987,2.0625
0.988,2.0583
0.989,2.0603
0.99,2.0532
0.991,2.0612
0.992,2.0565
0.993,2.0654
0.994,2.0596
0.995,2.0479
0.996,2.0618
0.997,2.0532
0.998,2.0566
0.999,2.0557
1.0,2.0636
2.0,2.0347
3.0,2.0125
4.0,1.9839
5.0,1.9633
6.0,1.9501
7.0,1.9387
8.0,1.9301
9.0,1.9266
10.0,1.8983
11.0,1.8862
12.0,1.8679
13.0,1.8571
14.0,1.8479
15.0,1.8353
16.0,1.8192
17.0,1.8049
18.0,1.8005
19.0,1.7871
20.0,1.7812
21.0,1.7682
22.0,1.7602
23.0,1.7461
24.0,1.7444
25.0,1.7349
26.0,1.7206
27.0,1.7146
28.0,1.7031
29.0,1.7007
30.0,1.6937
31.0,1.687
32.0,1.6827
33.0,1.678
34.0,1.6699
35.0,1.6646
36.0,1.6564
37.0,1.6514
38.0,1.6404
39.0,1.6386
40.0,1.6302
41.0,1.6278
42.0,1.6247
43.0,1.6166
44.0,1.6122
45.0,1.6099
46.0,1.6025
47.0,1.597
48.0,1.5937
49.0,1.5952
50.0,1.5916
51.0,1.5846
52.0,1.5762
53.0,1.5769
54.0,1.5727
55.0,1.5679
56.0,1.5569
57.0,1.5571
58.0,1.5584
59.0,1.5493
60.0,1.5498
61.0,1.5476
62.0,1.5452
63.0,1.5403
64.0,1.5383
65.0,1.5359
66.0,1.53
67.0,1.5249
68.0,1.5236
69.0,1.5181
70.0,1.524
71.0,1.5099
72.0,1.5137
73.0,1.5112
74.0,1.5038
75.0,1.5009
76.0,1.498
77.0,1.4984
78.0,1.4897
79.0,1.489
80.0,1.493
81.0,1.4879
82.0,1.4875
83.0,1.4872
84.0,1.4804
85.0,1.4795
86.0,1.478
87.0,1.4702
88.0,1.4742
89.0,1.4714
90.0,1.4702
91.0,1.4727
92.0,1.468
93.0,1.4639
94.0,1.4588
95.0,1.4559
96.0,1.4584
97.0,1.4579
98.0,1.455
99.0,1.4515
100.0,1.4511
